Company Name,Brief Description,Company ID,Founder Name,Geolocation,Last Valuation,Location City,Notable Investors,Pre-Seed Valuation and Date,Seed Valuation and Date,Series A Valuation and Date,Series B Valuation and Date,Series C Valuation and Date,Series D Valuation and Date,Series E Valuation and Date
Bear Robotics,Creator of autonomous service robots for restaurants including Servi robot for food delivery and Penny robot for bussing and cleaning tasks,bear-robotics,"John Ha, Joshua Lee","37.424106, -122.166077",Est. $500M - 2023,"Redwood City, California, USA","IMM Investment, Softbank Ventures Asia, Intero Ventures, Primavera Capital Group, LG Technology Ventures",N/A,$5.5M - May 2019,$32M - November 2020,$81M - January 2022,N/A,N/A,N/A
Miso Robotics,"Restaurant automation robotics company developing AI-powered cooking and food preparation robots. Flippy robot platform automates frying, grilling, and food assembly for quick-service restaurants and commercial kitchens.",miso-robotics,"David Zito (CEO), Buck Jordan (Co-founder)","34.1478, -118.1445",Est. $150M - 2022,"Pasadena, California, USA","PathFinder (Cali Group), Levy, Acacia Research, CaliGroup, Wavemaker Partners, Koi Capital, Rich Products",$1M - May 2016,$3M - September 2017,$10M - December 2018,$17M - September 2019,$30M - March 2021,$22M - May 2022,N/A
Scaled Robotics,"Barcelona-based construction monitoring robotics company using autonomous mobile robots for reality capture and progress tracking on construction sites. Robots scan projects and compare against Building Information Models (BIM) using AI-powered analytics to detect deviations and track construction progress. Serves major European construction firms including ACS Group, Ferrovial, and Skanska. Focus on quality control automation and project management optimization for large-scale construction projects. Addresses $12 trillion global construction market inefficiencies through robotic data collection and analysis.",scaled-robotics,"Stuart Maggs, Carlos Folguera","41.3851, 2.1734",$15M+ (Series A),"Barcelona, Spain","Navus Ventures, Aster Capital, EIT InnoEnergy",N/A,$2M - 2018,$15M - 2021,N/A,N/A,N/A,N/A
Built Robotics,Developer of autonomous construction equipment and AI guidance systems,built-robotics,Noah Ready-Campbell,"37.774929, -122.419416",Est. $400M - 2022,"San Francisco, California, USA","NEA, Founders Fund, Building Ventures, Presidio Partners, Fifth Wall, Lemnos Labs",N/A,$5M - March 2017,$15M - September 2018,$33M - December 2019,$64M - June 2021,N/A,N/A
Ghost Robotics,"Developer of legged robots and autonomous systems for defense, security, and industrial applications, including the Vision series of quadruped robots",ghost-robotics,"Jiren Parikh, Gavin Kenneally","39.952584, -75.165222",Est. $200M - 2023,"Philadelphia, Pennsylvania, USA","Atomico, Founders Fund, NEC Corporation, QED Investors, Amplo, Lockheed Martin Ventures",N/A,$2M - November 2017,$11.5M - August 2019,$25M - March 2022,N/A,N/A,N/A
EcoRobotix,"Swiss precision agriculture robotics company. AVO autonomous weeding robot using AI vision for ultra-precise herbicide application (95% reduction). GPS-guided robot operates in vegetables, row crops. Focus on sustainable farming with dramatic chemical reduction. European market leader in precision weeding.",ecorobotix,"Steve Tanner, Aurélien Demaurex","46.7784, 6.6411",$60M+ (Series C),"Yverdon-les-Bains, Switzerland","Capagro, Demeter Partners, Nestle, Swisscom Ventures, EquiTrust",N/A,Est. $3M - 2011,$10.5M - 2017,$12M - 2019,$12M - 2020,N/A,N/A
Scythe Robotics,"Developer of autonomous lawn mowing and landscaping robots for commercial property maintenance, using AI and precision cutting technology",scythe-robotics,"Jack Morrison, Davis Foster","39.739236, -104.990251",Est. $200M - 2023,"Boulder, Colorado, USA","Bessemer Venture Partners, Baseline Ventures, Headline, IA Ventures, AgFunder, ACRE Venture Partners",$500K - April 2018,$3.7M - November 2019,$17.3M - September 2021,N/A,N/A,N/A,N/A
Vecna Robotics,"Developer of autonomous mobile robots and AI-powered logistics automation for warehouses, manufacturing, and distribution centers",vecna-robotics,Daniel Theobald,"42.360081, -71.09416",Est. $300M - 2021,"Waltham, Massachusetts, USA","Highland Capital Partners, Fontinalis Partners, Drive Capital, Bessemer Venture Partners, Tiger Global, Blackhorn Ventures",N/A,$5M - June 2018,$14.5M - February 2019,$50M - May 2020,$29M - November 2021,N/A,N/A
Soft Robotics,"Harvard spinout specializing in inflatable compliant grippers (mGrip system) for delicate food handling and packaging. Patented elastomeric/pneumatic technology that conforms to object shapes without damage. Focus on fresh produce, baked goods, raw proteins, and fragile items difficult for rigid grippers. Applications in food processing, e-commerce fulfillment, and logistics automation. Strategic partnerships with FANUC, Honeywell, Yamaha for gripper integration into industrial robot arms.",soft-robotics,"George M. Whitesides (Co-founder, Harvard Professor), Carmichael Roberts (Co-founder, Material Impact), Mitchell Zakin (Co-founder), Carl Vause (Founding CEO, 2013)","42.4919, -71.2791",Est. $150M (Series C 2022),"Bedford, Massachusetts","Material Impact (lead), Calibrate Ventures (co-lead), FANUC Corporation (strategic), Honeywell Ventures (strategic), Yamaha Motor Ventures (strategic), Tyson Ventures (lead Series C), Marel, Johnsonville Sausage, Taylor Farms, Scale Venture Partners, Hyperplane, SOSV",N/A,Est. $4M - 2015,$5M - Dec 2015,$23M - Jan 2020,$26M - Nov 2022,N/A,N/A
OpenDroids,"LEADERSHIP CHANGE: Jackson Jesionowski now CEO (Abhishek Gupta departed). Open-source robotics platform developing affordable human-capable robots. R1D1 single-arm mobile manipulator ($18,500) for education/research and R2D3 dual-arm humanoid ($55K-60K) for commercial applications. Focus on accessible robotics through open-source approach. Active pilots in rehabilitation centers and restaurant chains (Baskin-Robbins, Subway discussions).",opendroids,"Jackson Jesionowski (CEO), Ashish Gupta (CFO)","37.7749, -122.4194",Early-stage funded (undisclosed),"San Francisco, CA","Persist Ventures, Motwani Jadeja Foundation",Est. $1M - 2023,Undisclosed early-stage funding - 2024,Not yet completed,Not yet completed,Not yet completed,Not yet completed,Not yet completed
Tutor Intelligence,MIT spinout focused on warehouse AI and automation. Developing intelligent systems for warehouse operations.,tutor-intelligence,MIT team,"42.3708, -71.1833",$49M,"Cambridge, MA (MIT spinout)","Union Square Ventures, Neo, Fundomo, E14 Fund, Kube VC, AiSprouts VC",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mytra,"Warehouse automation with AI-powered 3D robotics systems featuring three-component architecture: bots (wall-climbing robots), matrix (vertical storage infrastructure), and software (orchestration layer). 88% labor reduction demonstrated at Fortune 100 customers including Albertsons deployment. Modular system enabling 10x storage density vs. traditional warehousing. Ex-Tesla Optimus founding team applying humanoid robotics expertise to warehouse logistics automation.",mytra,"Chris Walti (CEO, ex-Tesla Optimus/robotics lead), Ahmad Baitalmal (Co-founder, ex-Tesla and Rivian factory software, 2022)","37.6805, -122.4014",Est. $250M (Series B 2024),"South San Francisco, California","Greenoaks (lead), Eclipse Ventures (lead), Promus Ventures, 515 Ventures, Abstract Ventures, Garry Tan (Y Combinator CEO), Lachy Groom, Humba Ventures, LifeX Ventures",N/A,Est. $5M - 2022,$28M - 2023,$50M at Est. $250M - Jul 2024,N/A,N/A,N/A
Iron Ox,Agricultural robotics company. Previously focused on autonomous greenhouse farming. Company experienced distress/pivot in recent years.,iron-ox,"Brandon Alexander, Jon Binney","37.5072, -122.2605",Company distressed/pivoted,"San Carlos, CA","Crosslink Capital, Pathbreaker Ventures, R7 Partners",N/A,N/A,$6M (2018),$20M (2020),$53M (2022),N/A,N/A
Buildroid AI,Construction robotics platform. Hardware-agnostic platform compatible with 40+ robot types. Multi-robot coordination for block-laying robots and autonomous mobile robots (AMRs) for material delivery. Q2 2026 commercial deployment planned.,buildroid-ai,"Slava Solonitsyn (CEO, YC Alum, founder of Mighty Buildings) and Anton Glance (CTO, founder of Glance Clock)","37.7749, -122.4194",Information not yet available,"San Francisco, California","Tim Draper (Draper Associates), Diamond Age, and NVIDIA (via technology partnership/Inception)",$2 million in November 2025,N/A,N/A,N/A,N/A,N/A,N/A
Lightberry,"Social robotics company applying autonomous vehicle perception and navigation technology to human-robot interaction. Develops robots capable of emotional connection and natural social behavior in home and commercial environments. Team composed of ex-self-driving car engineers from Waymo, Tesla, and Cruise. Focus on creating robotics companions that understand social cues, maintain conversations, and provide emotional support. Differentiator: leveraging automotive-grade sensors and AI for social robotics applications.",lightberry,Team with autonomous vehicle background (names not publicly disclosed),"37.7749,-122.4194",$5M (est. seed 2024),"San Francisco, California",Undisclosed Silicon Valley seed investors,Est. $1M - 2023,Est. $5M - 2024,N/A,N/A,N/A,N/A,N/A
Boost Robotics,"Data center robotics automation company developing autonomous mobile manipulation systems specifically for hyperscale data center environments. Robots perform hardware installation, cable management, equipment racking/stacking, and routine maintenance tasks. Addresses acute labor shortages in data center operations. Leverages highly structured environments for reliable autonomous operation. Target customers: Meta, Google, Amazon AWS, Microsoft Azure data centers. Focus on repetitive, physically demanding tasks in controlled temperature/humidity environments.",boost-robotics,Silicon Valley team (founders not publicly disclosed - stealth mode),"37.3861,-122.0839",$10M (est. seed 2022),"Mountain View, California","Undisclosed enterprise data center operators, early-stage Silicon Valley VCs",Est. $1M - 2021,Est. $10M - 2022,N/A,N/A,N/A,N/A,N/A
Dyna Robotics,"Embodied AI robotics company focusing on affordable robots for simple, high-value household tasks like laundry folding and food preparation. Research emphasis on embodied AI, robot learning, manipulation policies, and natural human-robot interaction. Strategy: start with specific high-value tasks rather than general-purpose robots. Target price points significantly below traditional robot costs through simplified mechanical designs and AI-first control. Likely leveraging vision-language models and imitation learning for task acquisition. Competes with Physical Intelligence, Skild AI in embodied AI approaches.",dyna-robotics,"Embodied AI researchers (names not disclosed, likely from academic labs or major AI companies)","37.7749,-122.4194",$8M (est. seed 2024),"San Francisco, California","AI-focused seed investors, likely including Lux Capital, AIX Ventures, or Conviction",Est. $1M - 2023,Est. $8M - 2024,N/A,N/A,N/A,N/A,N/A
EurekaLabsAI,"Humanoid robotics company founded by ex-Tesla AI diaspora engineers who built production autonomous systems. Represents significant Tesla brain drain trend - experienced engineers applying proven autonomous vehicle methodologies to humanoid robots. Focus on leveraging Tesla production scaling expertise, vision-based AI perception, and end-to-end neural networks for robot control. Thesis: automotive-grade reliability and manufacturing scale applied to humanoids. Early stealth mode with likely 2025-2026 product announcements.",eurekalabsai,"Ex-Tesla AI/Autopilot team (names stealth), veterans of Tesla Full Self-Driving development and production autonomous systems","37.3861,-122.0839",$15M (est. seed 2024),"Palo Alto, California","Undisclosed Silicon Valley VCs, likely AI-focused investors (stealth mode)",Est. $2M - 2024,Est. $15M - 2024,N/A,N/A,N/A,N/A,N/A
Connect Robotics,"Portugal-based defense robotics company selected for NATO DIANA (Defence Innovation Accelerator for the North Atlantic) accelerator program. NATO DIANA supports dual-use deep tech startups addressing Alliance security challenges. Likely developing unmanned ground vehicles (UGVs), autonomous surveillance systems, or logistics robots for military applications. European defense market focus with NATO standardization. Benefits from European defense budget increases post-Ukraine conflict. Potential applications in border security, reconnaissance, and military logistics.",connect-robotics,"Portuguese robotics team (names not disclosed), NATO DIANA accelerator participants","38.7223,-9.1393",$3M (est. NATO DIANA funding 2023),"Lisbon, Portugal",NATO DIANA accelerator,Est. $500K - 2022,Est. $3M - 2023 (NATO DIANA accelerator),N/A,N/A,N/A,N/A,N/A
UMA (Universal Mechanical Assistant),"Ex-Tesla/Hugging Face/Google DeepMind team building general-purpose humanoid and mobile robots for logistics, manufacturing, and healthcare. Humanoid robotics startup with exceptional technical talent and deep domain expertise in both autonomous systems and humanoid robotics. Focus on general-purpose humanoid assistants.",uma-universal-mechanical-assistant,"Rémi Cadene, Simon Alibert, Pierre Sermanet, Robert Knight","48.8566, 2.3522",$40M - December 2025 (seed target),"Paris, France (European Headquarters)","Greycroft, Relentless, Unity Growth, >Commit, Factorial, ALM Ventures, Drysdale, Yann LeCun, Olivier Pomel",N/A,$40M - December 2025 (target/in talks),N/A,N/A,N/A,N/A,N/A
Zeon Systems,Laboratory automation robotics. Natural language approach to democratize laboratory automation for scientific research. Focus on reproducible experiments and accelerating scientific discovery through accessible automation technology.,zeon-systems,Brontë Kolar (CEO) and Tahir D’Mello (CTO),Information not yet available,Information not yet available,"San Francisco, California, USA","Y Combinator (W25 batch), Salesforce Ventures, FundersClub, Pioneer Fund, A Capital*, FCVC, and Paul Buchheit","$500,000 as part of its initial backing (including Y Combinator participation)",N/A,N/A,N/A,N/A,N/A,N/A
Apptronik,"Apollo humanoid robot (5'8"", 160 lbs, 55 lb payload capacity) with NASA heritage from Valkyrie R5 program. UT Austin spinout commercializing research into general-purpose humanoid for manufacturing and logistics. Mercedes-Benz strategic partnership for automotive deployment. 24/7 operation capability with hot-swappable battery system. Google DeepMind AI integration for task learning. Modular design philosophy enabling rapid hardware iterations. Focus on safe human-robot collaboration in industrial environments.",apptronik,"Jeff Cardenas (CEO, Co-Founder), Dr. Nick Paine (CTO, Co-Founder), Dr. Luis Sentis (Co-Founder, UT Austin Professor, 2016)","30.2672, -97.7431",Est. $5B (Series B 2025),"Austin, Texas","B Capital Group (co-lead), Capital Factory (co-lead), Mercedes-Benz (strategic partner), Google Ventures, NVIDIA (partnership), Calibrate Ventures, Greycroft, Root Ventures, Lux Capital, Overline Ventures",N/A,$14.5M - Aug 2022,$45M at $350M+ valuation - Feb 2024,$403M + $331M at Est. $5B - 2025,N/A,N/A,N/A
http://Proception.ai,Dexterous manipulation robotics. Y Combinator-backed company tackling human-level dexterous manipulation with focus on efficient development and commercial applications. Building platform technology for complete humanoid robot systems.,proception-ai,"Jay Li (CEO, ex-Tesla Optimus engineer) and Jack (Jianxiang) Xu (ex-Tesla and Trexo Robotics)","37.4419, -122.1430",$500K,"Palo Alto, California, USA","Y Combinator, 468 Capital, First Round Capital, Multimodal Ventures, SurgePoint Capital",undisclosed,N/A,N/A,N/A,N/A,N/A,N/A
Physical Intelligence,"Foundation model (π0) for robot control enabling universal AI brain for physical tasks. Enables robots to perform diverse real-world tasks like laundry folding, table bussing, box assembly across 7+ robot embodiments. 10,000+ hours of real-world training data. Building general-purpose intelligence that works across different robot platforms and tasks.",physical-intelligence,"Karol Hausman (CEO, ex-Google Robotics), Sergey Levine (Chief Scientist, UC Berkeley), Chelsea Finn (Research Lead, Stanford), Brian Ichter (VP Engineering, ex-Google), Lachy Groom (COO), Adnan Esmail, Quan Vuong","37.7749, -122.4194","$5.6B (Series B, Nov 2025)","San Francisco, California","Jeff Bezos, Thrive Capital, Lux Capital, Bond Capital, OpenAI Startup Fund, Khosla Ventures, Sequoia Capital, CapitalG (Alphabet)",N/A,$70M - Jan 2024,$400M at $2.4B valuation - Mar 2024,$600M at $5.6B valuation - Nov 2025,N/A,N/A,N/A
ScrubMarine,Marine robotics company focused on hull cleaning automation. Developing autonomous systems for ship hull cleaning and maintenance to improve fuel efficiency and reduce marine biofouling.,scrubmarine,Rohith Devanathan (CEO) and Clyne Albertelli,"54.5490, -3.5841",$1.25M,Whitehaven (HQ/Engineering) and Edinburgh (R&D),"PXN Ventures, SFC Capital, Praetura Ventures, Colin Greene, Graham Westgarth","Raised approximately $250,000 (£200,000) led by Praetura Ventures","closed a $1 million (£740,000) round led by PXN Ventures and SFC Capital",N/A,N/A,N/A,N/A,N/A
Genesis AI,"Universal robotics foundation model using proprietary physics simulation engine for synthetic data generation at 430,000x real-time speed. 18-university research consortium partnership for robotics training data. Open-source approach enabling robot training through simulation rather than expensive real-world data collection. Physics-based synthetic data generation for scalable robot learning across diverse tasks and embodiments.",genesis-ai,"Zhou Xian (CEO, CMU PhD Robotics), Théophile Gervet (CTO, ex-Mistral AI, CMU PhD), 20+ researchers from NVIDIA, Google DeepMind, MIT, Stanford","37.4419, -122.1630",Est. $500M (based on $105M seed),"Palo Alto, CA / Paris, France (dual HQ)","Eclipse Ventures (co-lead), Khosla Ventures (co-lead), Bpifrance, HSG Capital, HongShan (Sequoia China), Eric Schmidt, Xavier Niel, Jean-Marie Messier",N/A,$105M - Jul 2025,N/A,N/A,N/A,N/A,N/A
Persona AI,"NASA-to-commercial humanoid robotics. Led by Nic Radford with 15-year NASA tenure, Valkyrie/Robonaut 2 leadership. Strongest NASA-to-commercial technology transfer in humanoid robotics with direct commercialization of NASA-developed technology.",persona-ai,Nic Radford,"29.7604, -95.3698",$42M,"Houston, Texas","Unity Growth, Tides Ventures, Mirae Asset Group, Invicta Growth, K2 Global, Fathom Fund",raised $27M,N/A,N/A,N/A,N/A,N/A,N/A
Swarm Dynamics,"Multi-robot coordination and fleet management platform. Per-robot licensing model ($500-2,000/year per robot). Enables companies to monitor, debug, and maintain large-scale robot deployments. Similar model to Starship Technologies for last-mile delivery.",swarm-dynamics,Harry Toukalas (CEO + Co-Founder),"33.4942, -111.9261",$4M,"99 Wall Street, Suite 527New York","Quiet Capital, Soma Capital, Silent Ventures",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sanctuary AI,Developer of general-purpose humanoid robots powered by advanced AI to perform human-like work in human environments,sanctuary-ai,"Geordie Rose, Suzanne Gildert, Olivia Norton","49.246292, -123.116226",$2B+ (Est. post-Bezos/OpenAI Nov 2024 round),"Vancouver, British Columbia, Canada","Accenture Ventures, Chrysalix Venture Capital, Cantos, Evok Innovations, Founders Fund, BDC Capital, Export Development Canada",N/A,$4.5M - October 2018,$16.5M - September 2020,$58M - February 2022,$35M - October 2024,N/A,N/A
Shinkei,"Y Combinator W22 seafood processing automation robotics company founded by Saif Khawaja. Develops robotic systems for automated fish and seafood handling, processing, and packaging. Addresses labor shortages and quality control challenges in commercial seafood processing facilities. Japanese-inspired precision (Shinkei = nervous system in Japanese). Targets $150B global seafood processing market with focus on sustainable, efficient automated processing solutions. Technology applicable to broader food processing automation.",shinkei,"Saif Khawaja (solo founder, yc w22)","33.9192,-118.4165",$22M (Series A 2024),"El Segundo, California ","Y Combinator (W22), undisclosed VCs",$1.3M - 2022,$6M - April 2024,raised $22M,N/A,N/A,N/A,N/A
Boston Dynamics,"Developer of advanced robots and simulation software for mobility, manipulation, and intelligence applications, known for humanoid and quadruped robots like Atlas and Spot",boston-dynamics,Marc Raibert,"42.354558, -71.065834",$1.1B (Hyundai acquisition 2021),"Waltham, Massachusetts, USA","SoftBank Group (acquired 2017 for ~$100M), Hyundai Motor Group (acquired 2020 for $1.1B)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scout AI,Robotics AI platform. Focus on AI infrastructure for robotics and autonomous systems. Targeting $20-50B robotics & autonomous systems subset of broader AI market.,scout-ai,Colby Adcock (CEO)and Collin Otis (CTO),"37.4069, -121.9902",$15M,"1225 Elko Dr, Sunnyvale, CA 94089, USA","Align Ventures, Booz Allen Ventures, Draper Associates, Decisive Point Ventures, Perot Jain",N/A,$15M raised,N/A,N/A,N/A,N/A,N/A
